,entity,dates,hits
356,Eminem,4/23/20,25
357,Eminem,4/24/20,98
358,Eminem,4/25/20,104
359,Eminem,4/26/20,61
360,Eminem,4/27/20,53
361,Eminem,4/28/20,35
362,Eminem,4/29/20,89
363,Eminem,4/30/20,676
364,Eminem,5/1/20,135
365,Eminem,5/2/20,40
366,Post Malone,1/2/20,12
367,Post Malone,1/3/20,13
368,Post Malone,1/4/20,13
369,Post Malone,1/5/20,9
370,Post Malone,1/6/20,19
371,Post Malone,1/7/20,10
372,Post Malone,1/8/20,15
373,Post Malone,1/9/20,8
374,Post Malone,1/10/20,8
375,Post Malone,1/11/20,12
376,Post Malone,1/12/20,36
377,Post Malone,1/13/20,6
378,Post Malone,1/14/20,3
379,Post Malone,1/15/20,5
380,Post Malone,1/16/20,6
381,Post Malone,1/17/20,2
382,Post Malone,1/18/20,0
383,Post Malone,1/19/20,2
384,Post Malone,1/20/20,1
385,Post Malone,1/21/20,6
386,Post Malone,1/22/20,5
387,Post Malone,1/23/20,5
388,Post Malone,1/24/20,2
389,Post Malone,1/25/20,1
390,Post Malone,1/26/20,0
391,Post Malone,1/27/20,75
392,Post Malone,1/28/20,388
393,Post Malone,1/29/20,1976
394,Post Malone,1/30/20,801
395,Post Malone,1/31/20,345
396,Post Malone,2/1/20,231
397,Post Malone,2/2/20,118
398,Post Malone,2/3/20,105
399,Post Malone,2/4/20,71
400,Post Malone,2/5/20,50
401,Post Malone,2/6/20,20
402,Post Malone,2/7/20,28
403,Post Malone,2/8/20,17
404,Post Malone,2/9/20,20
405,Post Malone,2/10/20,11
406,Post Malone,2/11/20,40
407,Post Malone,2/12/20,16
408,Post Malone,2/13/20,26
409,Post Malone,2/14/20,8
410,Post Malone,2/15/20,31
411,Post Malone,2/16/20,76
412,Post Malone,2/17/20,34
413,Post Malone,2/18/20,10
414,Post Malone,2/19/20,13
415,Post Malone,2/20/20,15
416,Post Malone,2/21/20,16
417,Post Malone,2/22/20,10
418,Post Malone,2/23/20,11
419,Post Malone,2/24/20,5
420,Post Malone,2/25/20,7
421,Post Malone,2/26/20,10
422,Post Malone,2/27/20,9
423,Post Malone,2/28/20,7
424,Post Malone,2/29/20,6
425,Post Malone,3/1/20,511
426,Post Malone,3/2/20,799
427,Post Malone,3/3/20,500
428,Post Malone,3/4/20,183
429,Post Malone,3/5/20,108
430,Post Malone,3/6/20,10000
431,Post Malone,3/7/20,10000
432,Post Malone,3/8/20,1866
433,Post Malone,3/9/20,1250
434,Post Malone,3/10/20,516
435,Post Malone,3/11/20,141
436,Post Malone,3/12/20,123
437,Post Malone,3/13/20,165
438,Post Malone,3/14/20,149
439,Post Malone,3/15/20,106
440,Post Malone,3/16/20,34
441,Post Malone,3/17/20,37
442,Post Malone,3/18/20,25
443,Post Malone,3/19/20,20
444,Post Malone,3/20/20,30
445,Post Malone,3/21/20,30
446,Post Malone,3/22/20,30
447,Post Malone,3/23/20,70
448,Post Malone,3/24/20,53
449,Post Malone,3/25/20,52
450,Post Malone,3/26/20,17
451,Post Malone,3/27/20,15
452,Post Malone,3/28/20,52
453,Post Malone,3/29/20,89
454,Post Malone,3/30/20,55
455,Post Malone,3/31/20,38
456,Post Malone,4/1/20,30
457,Post Malone,4/2/20,19
458,Post Malone,4/3/20,17
459,Post Malone,4/4/20,5
460,Post Malone,4/5/20,11
461,Post Malone,4/6/20,15
462,Post Malone,4/7/20,703
463,Post Malone,4/8/20,501
464,Post Malone,4/9/20,75
465,Post Malone,4/10/20,29
466,Post Malone,4/11/20,16
467,Post Malone,4/12/20,13
468,Post Malone,4/13/20,15
469,Post Malone,4/14/20,108
470,Post Malone,4/15/20,172
471,Post Malone,4/16/20,163
472,Post Malone,4/17/20,15
473,Post Malone,4/18/20,18
474,Post Malone,4/19/20,18
475,Post Malone,4/20/20,11
476,Post Malone,4/21/20,20
477,Post Malone,4/22/20,144
478,Post Malone,4/23/20,199
479,Post Malone,4/24/20,2003
480,Post Malone,4/25/20,1942
481,Post Malone,4/26/20,538
482,Post Malone,4/27/20,246
483,Post Malone,4/28/20,155
484,Post Malone,4/29/20,56
485,Post Malone,4/30/20,56
486,Post Malone,5/1/20,15
487,Post Malone,5/2/20,48
488,50 Cent,1/2/20,34
489,50 Cent,1/3/20,87
490,50 Cent,1/4/20,61
491,50 Cent,1/5/20,51
492,50 Cent,1/6/20,158
493,50 Cent,1/7/20,388
494,50 Cent,1/8/20,202
495,50 Cent,1/9/20,18
496,50 Cent,1/10/20,8
497,50 Cent,1/11/20,12
498,50 Cent,1/12/20,19
499,50 Cent,1/13/20,45
500,50 Cent,1/14/20,30
501,50 Cent,1/15/20,10
502,50 Cent,1/16/20,15
503,50 Cent,1/17/20,17
504,50 Cent,1/18/20,9
505,50 Cent,1/19/20,32
506,50 Cent,1/20/20,644
507,50 Cent,1/21/20,3567
508,50 Cent,1/22/20,819
509,50 Cent,1/23/20,78
510,50 Cent,1/24/20,45
511,50 Cent,1/25/20,30
512,50 Cent,1/26/20,62
513,50 Cent,1/27/20,825
514,50 Cent,1/28/20,2757
515,50 Cent,1/29/20,506
516,50 Cent,1/30/20,415
517,50 Cent,1/31/20,127
518,50 Cent,2/1/20,114
519,50 Cent,2/2/20,72
520,50 Cent,2/3/20,59
521,50 Cent,2/4/20,159
522,50 Cent,2/5/20,204
523,50 Cent,2/6/20,120
524,50 Cent,2/7/20,86
525,50 Cent,2/8/20,62
526,50 Cent,2/9/20,147
527,50 Cent,2/10/20,520
528,50 Cent,2/11/20,1087
529,50 Cent,2/12/20,649
530,50 Cent,2/13/20,96
531,50 Cent,2/14/20,1536
532,50 Cent,2/15/20,1360
533,50 Cent,2/16/20,538
534,50 Cent,2/17/20,783
535,50 Cent,2/18/20,1299
536,50 Cent,2/19/20,1691
537,50 Cent,2/20/20,370
538,50 Cent,2/21/20,159
539,50 Cent,2/22/20,53
540,50 Cent,2/23/20,59
541,50 Cent,2/24/20,401
542,50 Cent,2/25/20,90
543,50 Cent,2/26/20,44
544,50 Cent,2/27/20,267
545,50 Cent,2/28/20,235
546,50 Cent,2/29/20,502
547,50 Cent,3/1/20,278
548,50 Cent,3/2/20,69
549,50 Cent,3/3/20,25
550,50 Cent,3/4/20,39
551,50 Cent,3/5/20,93
552,50 Cent,3/6/20,66
553,50 Cent,3/7/20,26
554,50 Cent,3/8/20,13
555,50 Cent,3/9/20,555
556,50 Cent,3/10/20,160
557,50 Cent,3/11/20,49
558,50 Cent,3/12/20,21
559,50 Cent,3/13/20,20
560,50 Cent,3/14/20,12
561,50 Cent,3/15/20,13
562,50 Cent,3/16/20,405
563,50 Cent,3/17/20,361
564,50 Cent,3/18/20,17
565,50 Cent,3/19/20,7
566,50 Cent,3/20/20,10
567,50 Cent,3/21/20,9
568,50 Cent,3/22/20,3
569,50 Cent,3/23/20,2065
570,50 Cent,3/24/20,1730
571,50 Cent,3/25/20,150
572,50 Cent,3/26/20,118
