,peak_duration,peak_size,entity,peak_start_date
334,0,0,Apryl Jones,2020-02-25
335,0,0,Apryl Jones,2020-02-26
336,0,0,Apryl Jones,2020-02-27
337,0,0,Apryl Jones,2020-02-28
338,0,0,Apryl Jones,2020-02-29
339,0,0,Apryl Jones,2020-03-01
340,0,0,Apryl Jones,2020-03-02
341,0,0,Apryl Jones,2020-03-03
342,0,0,Apryl Jones,2020-03-04
343,0,0,Apryl Jones,2020-03-05
344,0,0,Apryl Jones,2020-03-06
345,0,0,Apryl Jones,2020-03-07
346,0,0,Apryl Jones,2020-03-08
347,0,0,Apryl Jones,2020-03-09
348,0,0,Apryl Jones,2020-03-10
349,0,0,Apryl Jones,2020-03-11
350,0,0,Apryl Jones,2020-03-12
351,0,0,Apryl Jones,2020-03-13
352,0,0,Apryl Jones,2020-03-14
353,0,0,Apryl Jones,2020-03-15
354,0,0,Apryl Jones,2020-03-16
355,0,0,Apryl Jones,2020-03-17
356,0,0,Apryl Jones,2020-03-18
357,0,0,Apryl Jones,2020-03-19
358,0,0,Apryl Jones,2020-03-20
359,0,0,Apryl Jones,2020-03-21
360,0,0,Apryl Jones,2020-03-22
361,0,0,Apryl Jones,2020-03-23
362,0,0,Apryl Jones,2020-03-24
363,0,0,Apryl Jones,2020-03-25
364,0,0,Apryl Jones,2020-03-26
365,0,0,Apryl Jones,2020-03-27
366,0,0,Apryl Jones,2020-03-28
367,0,0,Apryl Jones,2020-03-29
368,0,0,Apryl Jones,2020-03-30
369,0,0,Apryl Jones,2020-03-31
370,0,0,Apryl Jones,2020-04-01
371,0,0,Apryl Jones,2020-04-02
372,0,0,Apryl Jones,2020-04-03
373,0,0,Apryl Jones,2020-04-04
374,0,0,Apryl Jones,2020-04-05
375,0,0,Apryl Jones,2020-04-06
376,0,0,Apryl Jones,2020-04-07
377,0,0,Apryl Jones,2020-04-08
378,0,0,Apryl Jones,2020-04-09
379,0,0,Apryl Jones,2020-04-10
380,0,0,Apryl Jones,2020-04-11
381,0,0,Apryl Jones,2020-04-12
382,0,0,Apryl Jones,2020-04-13
383,0,0,Apryl Jones,2020-04-14
384,0,0,Apryl Jones,2020-04-15
385,0,0,Apryl Jones,2020-04-16
386,0,0,Apryl Jones,2020-04-17
387,0,0,Apryl Jones,2020-04-18
388,0,0,Apryl Jones,2020-04-19
389,0,0,Apryl Jones,2020-04-20
390,0,0,Apryl Jones,2020-04-21
391,0,0,Apryl Jones,2020-04-22
392,0,0,Apryl Jones,2020-04-23
393,0,0,Apryl Jones,2020-04-24
394,0,0,Apryl Jones,2020-04-25
395,0,0,Apryl Jones,2020-04-26
396,0,0,Apryl Jones,2020-04-27
397,0,106,Azriel Clary,2020-01-15
398,0,30,Azriel Clary,2020-01-16
399,0,13,Azriel Clary,2020-01-17
400,0,13,Azriel Clary,2020-01-18
401,0,7,Azriel Clary,2020-01-19
402,0,7,Azriel Clary,2020-01-20
403,0,6,Azriel Clary,2020-01-21
404,0,4,Azriel Clary,2020-01-22
405,0,9,Azriel Clary,2020-01-23
406,0,9,Azriel Clary,2020-01-24
407,5,487,Azriel Clary,2020-01-25
408,0,104,Azriel Clary,2020-01-31
409,0,31,Azriel Clary,2020-02-01
410,0,31,Azriel Clary,2020-02-02
411,5,330,Azriel Clary,2020-02-03
412,0,66,Azriel Clary,2020-02-09
413,0,19,Azriel Clary,2020-02-10
414,0,9,Azriel Clary,2020-02-11
415,0,7,Azriel Clary,2020-02-12
416,0,5,Azriel Clary,2020-02-13
417,0,5,Azriel Clary,2020-02-14
418,0,6,Azriel Clary,2020-02-15
419,0,5,Azriel Clary,2020-02-16
420,0,1,Azriel Clary,2020-02-17
421,0,1,Azriel Clary,2020-02-18
422,0,0,Azriel Clary,2020-02-19
423,0,0,Azriel Clary,2020-02-20
424,0,0,Azriel Clary,2020-02-21
425,0,0,Azriel Clary,2020-02-22
426,0,0,Azriel Clary,2020-02-23
427,0,0,Azriel Clary,2020-02-24
428,0,0,Azriel Clary,2020-02-25
429,0,0,Azriel Clary,2020-02-26
430,0,0,Azriel Clary,2020-02-27
431,0,0,Azriel Clary,2020-02-28
432,0,0,Azriel Clary,2020-02-29
433,0,75,Azriel Clary,2020-03-01
434,0,75,Azriel Clary,2020-03-02
435,0,75,Azriel Clary,2020-03-03
436,0,75,Azriel Clary,2020-03-04
437,0,68,Azriel Clary,2020-03-05
438,0,33,Azriel Clary,2020-03-06
439,0,17,Azriel Clary,2020-03-07
440,0,12,Azriel Clary,2020-03-08
441,0,29,Azriel Clary,2020-03-09
442,0,29,Azriel Clary,2020-03-10
443,0,29,Azriel Clary,2020-03-11
444,0,29,Azriel Clary,2020-03-12
445,0,27,Azriel Clary,2020-03-13
446,0,6,Azriel Clary,2020-03-14
447,0,6,Azriel Clary,2020-03-15
448,0,6,Azriel Clary,2020-03-16
449,0,2,Azriel Clary,2020-03-17
450,0,3,Azriel Clary,2020-03-18
451,0,3,Azriel Clary,2020-03-19
452,0,3,Azriel Clary,2020-03-20
453,0,3,Azriel Clary,2020-03-21
454,0,3,Azriel Clary,2020-03-22
455,0,1,Azriel Clary,2020-03-23
456,0,0,Azriel Clary,2020-03-24
457,0,0,Azriel Clary,2020-03-25
458,0,0,Azriel Clary,2020-03-26
459,0,0,Azriel Clary,2020-03-27
460,0,0,Azriel Clary,2020-03-28
461,0,0,Azriel Clary,2020-03-29
462,0,0,Azriel Clary,2020-03-30
463,0,0,Azriel Clary,2020-03-31
464,0,0,Azriel Clary,2020-04-01
465,0,0,Azriel Clary,2020-04-02
466,0,0,Azriel Clary,2020-04-03
467,0,0,Azriel Clary,2020-04-04
468,0,0,Azriel Clary,2020-04-05
469,0,0,Azriel Clary,2020-04-06
470,0,0,Azriel Clary,2020-04-07
471,0,0,Azriel Clary,2020-04-08
472,0,0,Azriel Clary,2020-04-09
473,0,0,Azriel Clary,2020-04-10
474,0,0,Azriel Clary,2020-04-11
475,0,0,Azriel Clary,2020-04-12
476,0,0,Azriel Clary,2020-04-13
477,0,0,Azriel Clary,2020-04-14
478,0,0,Azriel Clary,2020-04-15
479,0,0,Azriel Clary,2020-04-16
480,0,0,Azriel Clary,2020-04-17
481,0,0,Azriel Clary,2020-04-18
482,0,0,Azriel Clary,2020-04-19
483,0,0,Azriel Clary,2020-04-20
484,0,0,Azriel Clary,2020-04-21
485,0,0,Azriel Clary,2020-04-22
486,0,0,Azriel Clary,2020-04-23
487,0,0,Azriel Clary,2020-04-24
488,0,0,Azriel Clary,2020-04-25
489,0,0,Azriel Clary,2020-04-26
490,117,0,Azriel Clary,2020-04-27
491,0,8,Bernie Sanders,2020-01-02
492,0,4,Bernie Sanders,2020-01-03
493,0,8,Bernie Sanders,2020-01-04
494,0,8,Bernie Sanders,2020-01-05
495,0,10,Bernie Sanders,2020-01-06
496,0,14,Bernie Sanders,2020-01-07
497,0,14,Bernie Sanders,2020-01-08
498,0,14,Bernie Sanders,2020-01-09
499,0,19,Bernie Sanders,2020-01-10
500,0,9,Bernie Sanders,2020-01-11
501,0,9,Bernie Sanders,2020-01-12
502,0,9,Bernie Sanders,2020-01-13
503,0,4,Bernie Sanders,2020-01-14
504,0,4,Bernie Sanders,2020-01-15
505,0,4,Bernie Sanders,2020-01-16
506,0,4,Bernie Sanders,2020-01-17
507,0,4,Bernie Sanders,2020-01-18
508,0,2,Bernie Sanders,2020-01-19
509,0,179,Bernie Sanders,2020-01-20
510,0,179,Bernie Sanders,2020-01-21
511,0,179,Bernie Sanders,2020-01-22
512,0,179,Bernie Sanders,2020-01-23
513,0,175,Bernie Sanders,2020-01-24
514,0,38,Bernie Sanders,2020-01-25
515,0,19,Bernie Sanders,2020-01-26
516,0,7,Bernie Sanders,2020-01-27
517,0,7,Bernie Sanders,2020-01-28
518,0,5,Bernie Sanders,2020-01-29
519,0,36,Bernie Sanders,2020-01-30
520,0,217,Bernie Sanders,2020-01-31
521,0,217,Bernie Sanders,2020-02-01
522,0,217,Bernie Sanders,2020-02-02
523,0,194,Bernie Sanders,2020-02-03
524,0,194,Bernie Sanders,2020-02-04
525,0,81,Bernie Sanders,2020-02-05
526,0,70,Bernie Sanders,2020-02-06
527,0,70,Bernie Sanders,2020-02-07
528,0,70,Bernie Sanders,2020-02-08
529,0,149,Bernie Sanders,2020-02-09
530,0,433,Bernie Sanders,2020-02-10
531,0,414,Bernie Sanders,2020-02-11
532,0,386,Bernie Sanders,2020-02-12
533,0,341,Bernie Sanders,2020-02-13
534,0,362,Bernie Sanders,2020-02-14
535,0,335,Bernie Sanders,2020-02-15
536,0,203,Bernie Sanders,2020-02-16
537,0,203,Bernie Sanders,2020-02-17
538,0,203,Bernie Sanders,2020-02-18
539,0,229,Bernie Sanders,2020-02-19
540,0,229,Bernie Sanders,2020-02-20
541,0,48,Bernie Sanders,2020-02-21
542,0,138,Bernie Sanders,2020-02-22
543,0,138,Bernie Sanders,2020-02-23
544,0,128,Bernie Sanders,2020-02-24
545,0,128,Bernie Sanders,2020-02-25
546,0,389,Bernie Sanders,2020-02-26
547,0,389,Bernie Sanders,2020-02-27
548,0,391,Bernie Sanders,2020-02-28
549,0,394,Bernie Sanders,2020-02-29
550,0,394,Bernie Sanders,2020-03-01
551,0,372,Bernie Sanders,2020-03-02
552,0,372,Bernie Sanders,2020-03-03
553,0,396,Bernie Sanders,2020-03-04
554,0,396,Bernie Sanders,2020-03-05
555,0,360,Bernie Sanders,2020-03-06
556,0,360,Bernie Sanders,2020-03-07
557,0,360,Bernie Sanders,2020-03-08
558,6,2983,Bernie Sanders,2020-03-09
559,0,736,Bernie Sanders,2020-03-16
560,0,579,Bernie Sanders,2020-03-17
561,0,114,Bernie Sanders,2020-03-18
562,0,47,Bernie Sanders,2020-03-19
563,0,24,Bernie Sanders,2020-03-20
564,0,22,Bernie Sanders,2020-03-21
565,0,19,Bernie Sanders,2020-03-22
566,0,6,Bernie Sanders,2020-03-23
567,0,7,Bernie Sanders,2020-03-24
568,0,7,Bernie Sanders,2020-03-25
569,0,11,Bernie Sanders,2020-03-26
570,0,11,Bernie Sanders,2020-03-27
571,0,11,Bernie Sanders,2020-03-28
572,0,9,Bernie Sanders,2020-03-29
573,0,6,Bernie Sanders,2020-03-30
574,0,6,Bernie Sanders,2020-03-31
575,0,6,Bernie Sanders,2020-04-01
576,0,4,Bernie Sanders,2020-04-02
577,0,32,Bernie Sanders,2020-04-03
578,0,425,Bernie Sanders,2020-04-04
579,0,427,Bernie Sanders,2020-04-05
580,0,427,Bernie Sanders,2020-04-06
581,0,414,Bernie Sanders,2020-04-07
582,0,416,Bernie Sanders,2020-04-08
583,0,416,Bernie Sanders,2020-04-09
584,0,34,Bernie Sanders,2020-04-10
585,0,13,Bernie Sanders,2020-04-11
586,0,13,Bernie Sanders,2020-04-12
587,0,13,Bernie Sanders,2020-04-13
588,0,13,Bernie Sanders,2020-04-14
589,0,4,Bernie Sanders,2020-04-15
590,0,6,Bernie Sanders,2020-04-16
591,0,5,Bernie Sanders,2020-04-17
592,0,5,Bernie Sanders,2020-04-18
593,0,5,Bernie Sanders,2020-04-19
594,0,2,Bernie Sanders,2020-04-20
595,0,2,Bernie Sanders,2020-04-21
596,0,2,Bernie Sanders,2020-04-22
597,0,3,Bernie Sanders,2020-04-23
598,0,3,Bernie Sanders,2020-04-24
599,0,3,Bernie Sanders,2020-04-25
600,0,3,Bernie Sanders,2020-04-26
601,0,3,Bernie Sanders,2020-04-27
602,0,79,Bhad Bhabie,2020-01-02
603,0,78,Bhad Bhabie,2020-01-03
604,0,78,Bhad Bhabie,2020-01-04
605,0,26,Bhad Bhabie,2020-01-05
606,0,22,Bhad Bhabie,2020-01-06
607,0,2,Bhad Bhabie,2020-01-07
608,0,2,Bhad Bhabie,2020-01-08
609,0,2,Bhad Bhabie,2020-01-09
610,0,5,Bhad Bhabie,2020-01-10
611,0,5,Bhad Bhabie,2020-01-11
612,0,5,Bhad Bhabie,2020-01-12
613,0,5,Bhad Bhabie,2020-01-13
614,0,5,Bhad Bhabie,2020-01-14
615,0,3,Bhad Bhabie,2020-01-15
616,0,2,Bhad Bhabie,2020-01-16
617,0,2,Bhad Bhabie,2020-01-17
618,5,775,Bhad Bhabie,2020-01-18
619,0,113,Bhad Bhabie,2020-01-24
620,0,6,Bhad Bhabie,2020-01-25
621,0,6,Bhad Bhabie,2020-01-26
622,0,10,Bhad Bhabie,2020-01-27
623,0,10,Bhad Bhabie,2020-01-28
624,0,7,Bhad Bhabie,2020-01-29
625,0,10,Bhad Bhabie,2020-01-30
626,0,10,Bhad Bhabie,2020-01-31
627,0,10,Bhad Bhabie,2020-02-01
628,0,10,Bhad Bhabie,2020-02-02
629,0,6,Bhad Bhabie,2020-02-03
630,0,11,Bhad Bhabie,2020-02-04
631,0,11,Bhad Bhabie,2020-02-05
632,0,12,Bhad Bhabie,2020-02-06
633,0,272,Bhad Bhabie,2020-02-07
634,0,272,Bhad Bhabie,2020-02-08
